num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
1,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Palencia,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Nissan,Negro,2017,2010-2019,Colisión,2023
2,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Palencia,Ignorado,Hombre,17,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Freedom,Negro,2017,2010-2019,Colisión,2023
3,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Hombre,52,50-54,50-54,50 - 54,Ignorado,Mayor,Pick up,Nissan,Gris,1986,1980-1989,Colisión,2023
4,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Azul,2022,2020-2029,Colisión,2023
5,2023,1,20,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,6,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Bajaj,Negro,2021,2020-2029,Derrape,2023
6,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Suzuki,Gris,2021,2020-2029,Choque,2023
7,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,13,Hombre,48,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Derrape,2023
8,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Automóvil,Toyota,Blanco,2009,2000-2009,Colisión,2023
9,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Asia Hero,Rojo,2022,2020-2029,Colisión,2023
10,2023,1,10,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Mujer,43,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Honda,Gris,2018,2010-2019,Colisión,2023
11,2023,1,10,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Hombre,18,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,TVS Apache,Negro,2022,2020-2029,Colisión,2023
12,2023,1,17,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Villa Canales,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Choque,2023
13,2023,1,10,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Villa Canales,Ignorado,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Asia Hero,Azul,Ignorado,Ignorado,Choque,2023
14,2023,1,0,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Haojue,Azul,2019,2010-2019,Choque,2023
15,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
16,2023,1,1,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
17,2023,1,8,06:00 a 11:59,Mañana,Enero,Domingo,Zacapa,Usumatlán,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Cabezal,Freightliner,Blanco,Ignorado,Ignorado,Colisión,2023
18,2023,1,8,06:00 a 11:59,Mañana,Enero,Domingo,Zacapa,Usumatlán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Mazda,Corinto,Ignorado,Ignorado,Colisión,2023
19,2023,1,2,00:00 a 05:59,Mañana,Enero,Domingo,Escuintla,La Gomera,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,2023
20,2023,1,14,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
21,2023,1,22,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,Nueva Concepción,Ignorado,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,2023
22,2023,1,3,00:00 a 05:59,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Honda,Gris,2011,2010-2019,Colisión,2023
23,2023,1,3,00:00 a 05:59,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Hyundai,Blanco,2016,2010-2019,Colisión,2023
24,2023,1,2,00:00 a 05:59,Mañana,Enero,Domingo,Santa Rosa,Barberena,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Asia Hero,Ignorado,2022,2020-2029,Colisión,2023
25,2023,1,13,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,44,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Hyundai,Gris,2011,2010-2019,Colisión,2023
26,2023,1,13,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Honda,Negro,Ignorado,Ignorado,Colisión,2023
27,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,51,50-54,50-54,50 - 54,Ignorado,Mayor,Automóvil,Hyundai,Rojo,Ignorado,Ignorado,Colisión,2023
28,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,40,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Nissan,Verde,1995,1990-1999,Colisión,2023
29,2023,1,20,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Retalhuleu,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Cuatrimoto,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,2023
30,2023,1,11,06:00 a 11:59,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Suzuki,Azul,Ignorado,Ignorado,Colisión,2023
31,2023,1,11,06:00 a 11:59,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorado,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Ignorado,Amarillo,Ignorado,Ignorado,Colisión,2023
32,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,San Marcos,Sibinal,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Pick up,Toyota,Rojo,Ignorado,Ignorado,Embarrancó,2023
33,2023,1,21,18:00 a 23:59,Noche,Enero,Domingo,San Marcos,San Cristóbal Cucho,Ignorado,Hombre,50,50-54,50-54,50 - 54,Ignorado,Mayor,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Embarrancó,2023
34,2023,1,16,12:00 a 17:59,Tarde,Enero,Domingo,Baja Verapaz,San Jerónimo,Ignorado,Hombre,25,25-29,25-29,25 - 29,No Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
35,2023,1,11,06:00 a 11:59,Mañana,Enero,Domingo,El Progreso,Guastatoya,Ignorado,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Derrape,2023
36,2023,1,17,12:00 a 17:59,Tarde,Enero,Domingo,Izabal,Puerto Barrios,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Cuatrimoto,Kawasaki,Verde,2003,2000-2009,Derrape,2023
37,2023,1,3,00:00 a 05:59,Mañana,Enero,Domingo,Petén,Flores,Ignorado,Hombre,17,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Otros,Rojo,2020,2020-2029,Colisión,2023
38,2023,1,3,00:00 a 05:59,Mañana,Enero,Domingo,Petén,Flores,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Camioneta,Ignorado,Negro,Ignorado,Ignorado,Colisión,2023
39,2023,1,12,12:00 a 17:59,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Hyundai,Gris,2001,2000-2009,Colisión,2023
40,2023,1,12,12:00 a 17:59,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,Ignorado,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Asia Hero,Rojo,Ignorado,Ignorado,Colisión,2023
41,2023,2,11,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Mujer,32,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Honda,Gris,2011,2010-2019,Colisión,2023
42,2023,2,11,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Hombre,41,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Suzuki,Azul,2018,2010-2019,Colisión,2023
43,2023,2,20,18:00 a 23:59,Noche,Enero,Lunes,Guatemala,Guatemala,1,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Benelli,Blanco,Ignorado,Ignorado,Choque,2023
44,2023,2,7,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,San José Pinula,Ignorado,Hombre,22,20-24,20-24,20 - 24,No Ebrio,Mayor,Motocicleta,Bajaj,Blanco,2021,2020-2029,Colisión,2023
45,2023,2,7,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,San José Pinula,Ignorado,Hombre,18,15-19,15-19,15 - 19,No Ebrio,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,2023
46,2023,2,6,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Amatitlán,Ignorado,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,TVS Apache,Azul,Ignorado,Ignorado,Derrape,2023
47,2023,2,19,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorado,Hombre,69,65-69,60 y más,65 - 69,Ignorado,Mayor,Pick up,Isuzu,Negro,Ignorado,Ignorado,Choque,2023
48,2023,2,8,06:00 a 11:59,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,Ignorado,Mujer,40,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Honda,Negro,2021,2020-2029,Colisión,2023
49,2023,2,8,06:00 a 11:59,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Camión,Mercedes Benz,Blanco,1984,1980-1989,Colisión,2023
50,2023,2,6,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Mazda,Gris,Ignorado,Ignorado,Vuelco,2023
51,2023,2,12,12:00 a 17:59,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,Ignorado,Hombre,33,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Mazda,Café,Ignorado,Ignorado,Colisión,2023
52,2023,2,12,12:00 a 17:59,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,Ignorado,Hombre,26,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Suzuki,Azul,2019,2010-2019,Colisión,2023
53,2023,2,7,06:00 a 11:59,Mañana,Enero,Lunes,Petén,Flores,Ignorado,Hombre,49,45-49,45-49,45 - 49,Ignorado,Mayor,Pick up,Toyota,Corinto,1984,1980-1989,Colisión,2023
54,2023,2,7,06:00 a 11:59,Mañana,Enero,Lunes,Petén,Flores,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,2023
55,2023,2,20,18:00 a 23:59,Noche,Enero,Lunes,Chimaltenango,San Andrés Itzapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Italika,Negro,2016,2010-2019,Derrape,2023
56,2023,2,22,18:00 a 23:59,Noche,Enero,Lunes,Guatemala,Guatemala,12,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Honda,Negro,2012,2010-2019,Derrape,2023
57,2023,2,19,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión,2023
58,2023,2,19,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorado,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Colisión,2023
59,2023,3,3,00:00 a 05:59,Mañana,Enero,Martes,Guatemala,Guatemala,9,Hombre,59,55-59,55-59,55 - 59,Ignorado,Mayor,Automóvil,Hyundai,Gris,2013,2010-2019,Colisión,2023
60,2023,3,3,00:00 a 05:59,Mañana,Enero,Martes,Guatemala,Guatemala,9,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisión,2023
61,2023,3,11,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Guatemala,1,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Taxi,Ignorado,Blanco,Ignorado,Ignorado,Colisión,2023
62,2023,3,11,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Guatemala,1,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
63,2023,3,0,00:00 a 05:59,Mañana,Enero,Martes,Guatemala,Guatemala,10,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Volkswagen,Blanco,Ignorado,Ignorado,Colisión,2023
64,2023,3,0,00:00 a 05:59,Mañana,Enero,Martes,Guatemala,Guatemala,10,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Toyota,Gris,1997,1990-1999,Colisión,2023
65,2023,3,16,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Guatemala,12,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Suzuki,Negro,2021,2020-2029,Colisión,2023
66,2023,3,16,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Guatemala,12,Mujer,43,40-44,40-44,40 - 44,Ignorado,Mayor,Automóvil,Mitsubishi,Corinto,2005,2000-2009,Colisión,2023
67,2023,3,10,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Bus urbano,Internacional,Blanco,Ignorado,Ignorado,Colisión,2023
68,2023,3,10,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Hombre,52,50-54,50-54,50 - 54,Ignorado,Mayor,Motocicleta,Haojue,Negro,Ignorado,Ignorado,Colisión,2023
69,2023,3,15,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Petapa,7,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Ford,Corinto,2002,2000-2009,Colisión,2023
70,2023,3,15,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Petapa,7,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión,2023
71,2023,3,19,18:00 a 23:59,Noche,Enero,Martes,Jutiapa,Moyuta,Ignorado,Hombre,19,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2012,2010-2019,Colisión,2023
72,2023,3,19,18:00 a 23:59,Noche,Enero,Martes,Jutiapa,Moyuta,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Honda,Blanco,Ignorado,Ignorado,Colisión,2023
73,2023,3,13,12:00 a 17:59,Tarde,Enero,Martes,Chiquimula,San José la Arada,Ignorado,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Microbús,Toyota,Blanco,2008,2000-2009,Vuelco,2023
74,2023,3,9,06:00 a 11:59,Mañana,Enero,Martes,Zacapa,Estanzuela,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Pick up,Toyota,Azul,Ignorado,Ignorado,Embarrancó,2023
75,2023,3,17,12:00 a 17:59,Tarde,Enero,Martes,Escuintla,Nueva Concepción,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Pick up,Nissan,Blanco,Ignorado,Ignorado,Colisión,2023
76,2023,3,17,12:00 a 17:59,Tarde,Enero,Martes,Escuintla,Nueva Concepción,Ignorado,Hombre,51,50-54,50-54,50 - 54,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
77,2023,3,10,06:00 a 11:59,Mañana,Enero,Martes,Petén,Dolores,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,2023
78,2023,3,15,12:00 a 17:59,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Camión,Isuzu,Blanco,2022,2020-2029,Colisión,2023
79,2023,3,15,12:00 a 17:59,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,Ignorado,Hombre,43,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Asia Hero,Azul,2021,2020-2029,Colisión,2023
80,2023,4,22,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Toyota,Blanco,2010,2010-2019,Colisión,2023
81,2023,4,22,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Suzuki,Negro,2020,2020-2029,Colisión,2023
82,2023,4,22,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Toyota,Gris,2002,2000-2009,Colisión,2023
83,2023,4,22,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Negro,2022,2020-2029,Colisión,2023
84,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Guatemala,Petapa,9,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
85,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Guatemala,Petapa,9,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
86,2023,4,23,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,Mixco,1,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
87,2023,4,14,12:00 a 17:59,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Bus urbano,Internacional,Azul,2002,2000-2009,Colisión,2023
88,2023,4,14,12:00 a 17:59,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Microbús,Toyota,Azul,2002,2000-2009,Colisión,2023
89,2023,4,14,12:00 a 17:59,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Pick up,Toyota,Negro,Ignorado,Ignorado,Colisión,2023
90,2023,4,15,12:00 a 17:59,Tarde,Enero,Miércoles,Escuintla,Escuintla,Ignorado,Hombre,71,70-74,60 y más,70 - 74,Ignorado,Mayor,Camioneta,Toyota,Café,2016,2010-2019,Choque,2023
91,2023,4,16,12:00 a 17:59,Tarde,Enero,Miércoles,Escuintla,San José,Ignorado,Hombre,62,60-64,60 y más,60 - 64,Ignorado,Mayor,Camioneta,Audi,Gris,Ignorado,Ignorado,Colisión,2023
92,2023,4,16,12:00 a 17:59,Tarde,Enero,Miércoles,Escuintla,San José,Ignorado,Mujer,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión,2023
93,2023,4,23,18:00 a 23:59,Noche,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Ignorado,Gris,2018,2010-2019,Colisión,2023
94,2023,4,23,18:00 a 23:59,Noche,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Kawasaki,Rojo,2009,2000-2009,Colisión,2023
95,2023,4,13,12:00 a 17:59,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,Ignorado,Hombre,54,50-54,50-54,50 - 54,Ignorado,Mayor,Cabezal,Freightliner,Negro,Ignorado,Ignorado,Colisión,2023
96,2023,4,13,12:00 a 17:59,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,2022,2020-2029,Colisión,2023
97,2023,4,1,00:00 a 05:59,Mañana,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Automóvil,Ignorado,Gris,2002,2000-2009,Colisión,2023
98,2023,4,1,00:00 a 05:59,Mañana,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Automóvil,Hyundai,Gris,2007,2000-2009,Colisión,2023
99,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Toyota,Verde,1994,1990-1999,Colisión,2023
100,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,40,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Mazda,Rojo,2018,2010-2019,Colisión,2023
101,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Camioneta,Ford,Verde,2001,2000-2009,Colisión,2023
102,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,63,60-64,60 y más,60 - 64,Ignorado,Mayor,Automóvil,Hyundai,Azul,2007,2000-2009,Colisión,2023
103,2023,4,9,06:00 a 11:59,Mañana,Enero,Miércoles,Alta Verapaz,San Pedro Carchá,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Bus urbano,Toyota,Azul,2016,2010-2019,Vuelco,2023
104,2023,4,6,06:00 a 11:59,Mañana,Enero,Miércoles,Izabal,Livingston,Ignorado,Hombre,57,55-59,55-59,55 - 59,Ignorado,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,2023
105,2023,4,9,06:00 a 11:59,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Mujer,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Italika,Anaranjado,Ignorado,Ignorado,Colisión,2023
106,2023,4,9,06:00 a 11:59,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Italika,Negro,Ignorado,Ignorado,Colisión,2023
107,2023,4,19,18:00 a 23:59,Noche,Enero,Miércoles,Sololá,Panajachel,Ignorado,Hombre,29,25-29,25-29,25 - 29,Ignorado,Mayor,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisión,2023
108,2023,4,19,18:00 a 23:59,Noche,Enero,Miércoles,Sololá,Panajachel,Ignorado,Hombre,45,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,2023
109,2023,4,12,12:00 a 17:59,Tarde,Enero,Miércoles,Sacatepéquez,Santo Domingo Xenacoj,3,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión,2023
110,2023,4,12,12:00 a 17:59,Tarde,Enero,Miércoles,Sacatepéquez,Santo Domingo Xenacoj,3,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Mazda,Turquesa,1994,1990-1999,Colisión,2023
111,2023,5,21,18:00 a 23:59,Noche,Enero,Jueves,Guatemala,Guatemala,1,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2015,2010-2019,Derrape,2023
112,2023,5,13,12:00 a 17:59,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Hombre,47,45-49,45-49,45 - 49,Ignorado,Mayor,Automóvil,Mazda,Blanco,Ignorado,Ignorado,Colisión,2023
113,2023,5,13,12:00 a 17:59,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Honda,Blanco,Ignorado,Ignorado,Colisión,2023
114,2023,5,15,12:00 a 17:59,Tarde,Enero,Jueves,Guatemala,Villa Nueva,Ignorado,Hombre,32,30-34,30-34,30 - 34,Ignorado,Mayor,Camioneta,Nissan,Negro,Ignorado,Ignorado,Vuelco,2023
115,2023,5,7,06:00 a 11:59,Mañana,Enero,Jueves,Guatemala,Mixco,4,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Nissan,Gris,2012,2010-2019,Colisión,2023
116,2023,5,7,06:00 a 11:59,Mañana,Enero,Jueves,Guatemala,Mixco,4,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Gris,2022,2020-2029,Colisión,2023
