num_correlativo,corre_base,dia_ocu,dia_sem_ocu,hora_ocu,g_hora,mes_ocu,depto_ocu,mupio_ocu,zona_ocu,area_geo_ocu,sexo_con,edad_con,g_edad,mayor_menor,estado_con,tipo_veh,modelo_veh,color_veh,marca_veh,tipo_eve,anio
1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,101.0,7.0,1.0,1.0,20.0,3.0,1.0,9.0,1.0,3.0,5.0,32.0,1.0,2014
2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,101.0,7.0,1.0,1.0,21.0,3.0,1.0,9.0,1.0,4.0,99.0,46.0,1.0,2014
3.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,101.0,7.0,1.0,2.0,21.0,3.0,1.0,9.0,2.0,4.0,11.0,21.0,1.0,2014
4.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,101.0,7.0,1.0,1.0,30.0,5.0,1.0,9.0,1.0,3.0,1.0,46.0,1.0,2014
5.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,101.0,7.0,1.0,1.0,26.0,4.0,1.0,9.0,4.0,9.0,7.0,2.0,1.0,2014
6.0,6.0,1.0,3.0,20.0,4.0,1.0,1.0,101.0,1.0,1.0,1.0,18.0,2.0,1.0,9.0,1.0,3.0,2.0,42.0,1.0,2014
7.0,7.0,1.0,3.0,20.0,4.0,1.0,1.0,101.0,1.0,1.0,1.0,27.0,4.0,1.0,9.0,1.0,3.0,12.0,5.0,1.0,2014
8.0,8.0,1.0,3.0,2.0,1.0,1.0,5.0,502.0,1.0,1.0,1.0,21.0,3.0,1.0,9.0,4.0,9.0,3.0,42.0,1.0,2014
9.0,9.0,1.0,3.0,2.0,1.0,1.0,5.0,502.0,1.0,1.0,1.0,16.0,2.0,2.0,9.0,4.0,9.0,5.0,37.0,1.0,2014
10.0,10.0,1.0,3.0,18.0,4.0,1.0,11.0,1102.0,99.0,2.0,1.0,53.0,9.0,1.0,2.0,2.0,9.0,3.0,23.0,2.0,2014
11.0,11.0,1.0,3.0,1.0,1.0,1.0,16.0,1601.0,8.0,1.0,1.0,56.0,10.0,1.0,2.0,1.0,9.0,4.0,44.0,1.0,2014
12.0,12.0,1.0,3.0,1.0,1.0,1.0,16.0,1601.0,8.0,1.0,1.0,32.0,5.0,1.0,1.0,3.0,5.0,5.0,44.0,1.0,2014
13.0,13.0,1.0,3.0,9.0,2.0,1.0,18.0,1801.0,99.0,1.0,1.0,23.0,3.0,1.0,2.0,1.0,3.0,1.0,21.0,2.0,2014
14.0,14.0,1.0,3.0,18.0,4.0,1.0,4.0,401.0,99.0,2.0,1.0,45.0,8.0,1.0,9.0,1.0,2.0,1.0,37.0,2.0,2014
15.0,15.0,1.0,3.0,22.0,4.0,1.0,17.0,1703.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,1.0,9.0,99.0,99.0,1.0,2014
16.0,16.0,1.0,3.0,22.0,4.0,1.0,17.0,1703.0,99.0,2.0,1.0,20.0,3.0,1.0,9.0,4.0,9.0,99.0,99.0,1.0,2014
17.0,17.0,1.0,3.0,22.0,4.0,1.0,19.0,1908.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,1.0,9.0,99.0,99.0,1.0,2014
18.0,18.0,1.0,3.0,2.0,1.0,1.0,5.0,501.0,99.0,1.0,9.0,999.0,12.0,9.0,9.0,99.0,9.0,99.0,99.0,1.0,2014
19.0,19.0,1.0,3.0,2.0,1.0,1.0,5.0,501.0,99.0,1.0,1.0,999.0,12.0,9.0,9.0,4.0,9.0,99.0,42.0,1.0,2014
20.0,20.0,2.0,4.0,19.0,4.0,1.0,17.0,1703.0,99.0,2.0,1.0,999.0,12.0,9.0,9.0,1.0,9.0,99.0,99.0,1.0,2014
21.0,21.0,2.0,4.0,19.0,4.0,1.0,10.0,1001.0,99.0,1.0,1.0,20.0,3.0,1.0,9.0,1.0,5.0,4.0,44.0,1.0,2014
22.0,22.0,2.0,4.0,19.0,4.0,1.0,10.0,1001.0,99.0,1.0,1.0,39.0,6.0,1.0,9.0,9.0,4.0,4.0,44.0,1.0,2014
23.0,23.0,2.0,4.0,17.0,3.0,1.0,1.0,115.0,8.0,1.0,1.0,58.0,10.0,1.0,9.0,3.0,3.0,6.0,5.0,1.0,2014
24.0,24.0,2.0,4.0,17.0,3.0,1.0,11.0,1101.0,99.0,2.0,1.0,21.0,3.0,1.0,9.0,13.0,9.0,99.0,99.0,1.0,2014
25.0,25.0,2.0,4.0,17.0,3.0,1.0,11.0,1101.0,99.0,2.0,2.0,63.0,11.0,1.0,9.0,2.0,9.0,6.0,5.0,1.0,2014
26.0,26.0,2.0,4.0,16.0,3.0,1.0,1.0,102.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,7.0,9.0,99.0,99.0,2.0,2014
27.0,27.0,2.0,4.0,18.0,4.0,1.0,1.0,101.0,5.0,1.0,2.0,30.0,5.0,1.0,9.0,1.0,9.0,4.0,34.0,2.0,2014
28.0,28.0,3.0,5.0,13.0,3.0,1.0,1.0,101.0,5.0,1.0,1.0,26.0,4.0,1.0,9.0,1.0,9.0,6.0,99.0,1.0,2014
29.0,29.0,3.0,5.0,13.0,3.0,1.0,1.0,101.0,5.0,1.0,9.0,999.0,12.0,9.0,9.0,99.0,9.0,5.0,99.0,1.0,2014
30.0,30.0,3.0,5.0,19.0,4.0,1.0,1.0,101.0,12.0,1.0,1.0,27.0,4.0,1.0,9.0,4.0,9.0,99.0,99.0,1.0,2014
31.0,31.0,3.0,5.0,19.0,4.0,1.0,1.0,101.0,12.0,1.0,9.0,999.0,12.0,9.0,9.0,1.0,9.0,99.0,99.0,1.0,2014
32.0,32.0,3.0,5.0,19.0,4.0,1.0,10.0,1014.0,99.0,1.0,1.0,17.0,2.0,2.0,9.0,4.0,9.0,1.0,99.0,1.0,2014
33.0,33.0,3.0,5.0,19.0,4.0,1.0,10.0,1014.0,99.0,1.0,9.0,999.0,12.0,9.0,9.0,3.0,9.0,99.0,99.0,1.0,2014
34.0,34.0,3.0,5.0,11.0,2.0,1.0,11.0,1101.0,99.0,1.0,1.0,17.0,2.0,2.0,9.0,4.0,9.0,99.0,99.0,1.0,2014
35.0,35.0,3.0,5.0,11.0,2.0,1.0,11.0,1101.0,99.0,1.0,9.0,999.0,12.0,9.0,9.0,2.0,9.0,99.0,99.0,1.0,2014
36.0,36.0,3.0,5.0,16.0,3.0,1.0,12.0,1208.0,99.0,1.0,9.0,999.0,12.0,9.0,9.0,3.0,9.0,1.0,99.0,2.0,2014
37.0,37.0,3.0,5.0,19.0,4.0,1.0,6.0,608.0,99.0,1.0,1.0,999.0,12.0,1.0,9.0,2.0,9.0,2.0,44.0,1.0,2014
38.0,38.0,3.0,5.0,19.0,4.0,1.0,6.0,608.0,99.0,1.0,1.0,57.0,10.0,1.0,9.0,3.0,9.0,1.0,44.0,1.0,2014
39.0,39.0,4.0,6.0,10.0,2.0,1.0,1.0,101.0,19.0,1.0,1.0,24.0,3.0,1.0,9.0,7.0,9.0,1.0,33.0,1.0,2014
40.0,40.0,4.0,6.0,10.0,2.0,1.0,1.0,101.0,19.0,1.0,1.0,999.0,12.0,1.0,9.0,7.0,9.0,1.0,33.0,1.0,2014
41.0,41.0,4.0,6.0,21.0,4.0,1.0,1.0,101.0,9.0,1.0,1.0,35.0,6.0,1.0,9.0,3.0,3.0,6.0,32.0,1.0,2014
42.0,42.0,4.0,6.0,19.0,4.0,1.0,9.0,920.0,99.0,2.0,1.0,35.0,6.0,1.0,9.0,1.0,9.0,8.0,17.0,1.0,2014
43.0,43.0,4.0,6.0,21.0,4.0,1.0,12.0,1202.0,99.0,2.0,1.0,27.0,4.0,1.0,9.0,1.0,4.0,1.0,46.0,1.0,2014
44.0,44.0,4.0,6.0,18.0,4.0,1.0,1.0,101.0,3.0,1.0,1.0,50.0,9.0,1.0,9.0,1.0,9.0,4.0,30.0,1.0,2014
45.0,45.0,4.0,6.0,10.0,2.0,1.0,1.0,115.0,1.0,1.0,1.0,52.0,9.0,1.0,9.0,6.0,9.0,2.0,19.0,1.0,2014
46.0,46.0,4.0,6.0,13.0,3.0,1.0,16.0,1601.0,99.0,2.0,1.0,50.0,9.0,1.0,9.0,3.0,9.0,4.0,44.0,1.0,2014
47.0,47.0,5.0,7.0,2.0,1.0,1.0,1.0,101.0,1.0,1.0,1.0,31.0,5.0,1.0,9.0,4.0,9.0,99.0,10.0,2.0,2014
48.0,48.0,5.0,7.0,2.0,1.0,1.0,1.0,101.0,7.0,1.0,1.0,21.0,3.0,1.0,9.0,2.0,9.0,99.0,10.0,2.0,2014
49.0,49.0,5.0,7.0,3.0,1.0,1.0,1.0,101.0,7.0,1.0,1.0,37.0,6.0,1.0,9.0,1.0,9.0,5.0,34.0,1.0,2014
50.0,50.0,5.0,7.0,18.0,4.0,1.0,6.0,601.0,99.0,2.0,1.0,39.0,6.0,1.0,9.0,3.0,9.0,8.0,99.0,1.0,2014
51.0,51.0,5.0,7.0,14.0,3.0,1.0,12.0,1201.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,1.0,9.0,99.0,99.0,3.0,2014
52.0,52.0,5.0,7.0,0.0,4.0,1.0,8.0,805.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,7.0,9.0,1.0,99.0,3.0,2014
53.0,53.0,5.0,7.0,23.0,4.0,1.0,17.0,1712.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,99.0,9.0,99.0,99.0,3.0,2014
54.0,54.0,6.0,1.0,8.0,2.0,1.0,1.0,101.0,10.0,1.0,2.0,50.0,9.0,1.0,9.0,1.0,4.0,3.0,38.0,1.0,2014
55.0,55.0,6.0,1.0,3.0,1.0,1.0,6.0,603.0,99.0,2.0,2.0,14.0,1.0,2.0,9.0,4.0,9.0,99.0,99.0,2.0,2014
56.0,56.0,6.0,1.0,21.0,4.0,1.0,9.0,901.0,8.0,1.0,2.0,21.0,3.0,1.0,9.0,1.0,3.0,1.0,32.0,1.0,2014
57.0,57.0,6.0,1.0,21.0,4.0,1.0,9.0,901.0,8.0,1.0,1.0,24.0,3.0,1.0,9.0,4.0,5.0,1.0,42.0,1.0,2014
58.0,58.0,6.0,1.0,9.0,2.0,1.0,13.0,1301.0,99.0,2.0,1.0,28.0,4.0,1.0,9.0,3.0,4.0,2.0,32.0,2.0,2014
59.0,59.0,7.0,2.0,5.0,1.0,1.0,2.0,203.0,99.0,2.0,1.0,38.0,6.0,1.0,9.0,5.0,4.0,2.0,19.0,1.0,2014
60.0,60.0,7.0,2.0,5.0,1.0,1.0,2.0,203.0,99.0,2.0,1.0,48.0,8.0,1.0,9.0,12.0,2.0,2.0,13.0,1.0,2014
61.0,61.0,7.0,2.0,7.0,2.0,1.0,21.0,2101.0,99.0,2.0,1.0,23.0,3.0,1.0,9.0,3.0,5.0,2.0,37.0,1.0,2014
62.0,62.0,7.0,2.0,18.0,4.0,1.0,21.0,2106.0,99.0,2.0,1.0,23.0,3.0,1.0,9.0,14.0,5.0,1.0,2.0,1.0,2014
63.0,63.0,7.0,2.0,18.0,4.0,1.0,21.0,2106.0,99.0,2.0,1.0,23.0,3.0,1.0,9.0,4.0,9.0,4.0,21.0,1.0,2014
64.0,64.0,7.0,2.0,16.0,3.0,1.0,7.0,701.0,99.0,2.0,1.0,51.0,9.0,1.0,9.0,5.0,9.0,2.0,23.0,4.0,2014
65.0,65.0,8.0,3.0,19.0,4.0,1.0,1.0,101.0,2.0,1.0,1.0,25.0,4.0,1.0,1.0,1.0,3.0,4.0,32.0,1.0,2014
66.0,66.0,8.0,3.0,19.0,4.0,1.0,1.0,101.0,2.0,1.0,2.0,48.0,8.0,1.0,1.0,1.0,3.0,10.0,44.0,1.0,2014
67.0,67.0,8.0,3.0,16.0,3.0,1.0,1.0,101.0,1.0,1.0,1.0,35.0,6.0,1.0,1.0,3.0,5.0,2.0,37.0,1.0,2014
68.0,68.0,8.0,3.0,16.0,3.0,1.0,1.0,101.0,1.0,1.0,1.0,39.0,6.0,1.0,1.0,1.0,3.0,6.0,44.0,1.0,2014
69.0,69.0,8.0,3.0,8.0,2.0,1.0,1.0,101.0,7.0,1.0,1.0,35.0,6.0,1.0,9.0,12.0,9.0,1.0,99.0,1.0,2014
70.0,70.0,8.0,3.0,8.0,2.0,1.0,1.0,101.0,7.0,1.0,1.0,37.0,6.0,1.0,9.0,4.0,9.0,5.0,49.0,1.0,2014
71.0,71.0,8.0,3.0,4.0,1.0,1.0,1.0,114.0,99.0,2.0,1.0,22.0,3.0,1.0,9.0,4.0,9.0,1.0,24.0,1.0,2014
72.0,72.0,8.0,3.0,4.0,1.0,1.0,1.0,114.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,5.0,9.0,99.0,99.0,1.0,2014
73.0,73.0,8.0,3.0,13.0,3.0,1.0,1.0,115.0,99.0,2.0,2.0,999.0,12.0,1.0,9.0,1.0,9.0,99.0,37.0,1.0,2014
74.0,74.0,8.0,3.0,13.0,3.0,1.0,1.0,115.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,6.0,3.0,5.0,15.0,1.0,2014
75.0,75.0,8.0,3.0,15.0,3.0,1.0,6.0,601.0,99.0,2.0,1.0,37.0,6.0,1.0,9.0,3.0,9.0,8.0,37.0,1.0,2014
76.0,76.0,8.0,3.0,15.0,3.0,1.0,6.0,601.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,7.0,3.0,99.0,99.0,1.0,2014
77.0,77.0,8.0,3.0,21.0,4.0,1.0,11.0,1107.0,99.0,2.0,1.0,21.0,3.0,1.0,9.0,3.0,9.0,5.0,99.0,3.0,2014
78.0,78.0,8.0,3.0,6.0,2.0,1.0,17.0,1703.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,1.0,9.0,2.0,99.0,1.0,2014
79.0,79.0,8.0,3.0,6.0,2.0,1.0,17.0,1703.0,99.0,2.0,1.0,30.0,5.0,1.0,9.0,4.0,9.0,2.0,99.0,1.0,2014
80.0,80.0,9.0,4.0,8.0,2.0,1.0,1.0,101.0,18.0,1.0,1.0,35.0,6.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,2014
81.0,81.0,9.0,4.0,6.0,2.0,1.0,1.0,115.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,1.0,4.0,5.0,34.0,1.0,2014
82.0,82.0,9.0,4.0,6.0,2.0,1.0,1.0,115.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,3.0,2.0,3.0,99.0,1.0,2014
83.0,83.0,9.0,4.0,14.0,3.0,1.0,1.0,115.0,99.0,2.0,1.0,37.0,6.0,1.0,1.0,12.0,3.0,99.0,13.0,1.0,2014
84.0,84.0,9.0,4.0,14.0,3.0,1.0,1.0,115.0,99.0,2.0,1.0,27.0,4.0,1.0,1.0,12.0,3.0,99.0,13.0,1.0,2014
85.0,85.0,9.0,4.0,15.0,3.0,1.0,5.0,508.0,99.0,2.0,1.0,31.0,5.0,1.0,1.0,6.0,9.0,2.0,99.0,2.0,2014
86.0,86.0,9.0,4.0,7.0,2.0,1.0,9.0,901.0,2.0,1.0,1.0,38.0,6.0,1.0,9.0,7.0,2.0,99.0,13.0,3.0,2014
87.0,87.0,9.0,4.0,15.0,3.0,1.0,12.0,1201.0,99.0,2.0,1.0,40.0,7.0,1.0,9.0,3.0,3.0,4.0,44.0,1.0,2014
88.0,88.0,9.0,4.0,15.0,3.0,1.0,12.0,1201.0,99.0,2.0,1.0,23.0,3.0,1.0,9.0,1.0,3.0,4.0,44.0,1.0,2014
89.0,89.0,9.0,4.0,22.0,4.0,1.0,12.0,1213.0,99.0,2.0,1.0,47.0,8.0,1.0,2.0,99.0,9.0,99.0,44.0,1.0,2014
90.0,90.0,9.0,4.0,22.0,4.0,1.0,12.0,1213.0,99.0,2.0,1.0,999.0,12.0,1.0,9.0,8.0,9.0,6.0,99.0,1.0,2014
91.0,91.0,9.0,4.0,22.0,4.0,1.0,8.0,801.0,99.0,2.0,1.0,36.0,6.0,1.0,1.0,5.0,5.0,2.0,19.0,3.0,2014
92.0,92.0,9.0,4.0,18.0,4.0,1.0,8.0,802.0,99.0,2.0,1.0,35.0,6.0,1.0,1.0,4.0,4.0,1.0,21.0,3.0,2014
93.0,93.0,9.0,4.0,20.0,4.0,1.0,17.0,1705.0,99.0,2.0,1.0,44.0,7.0,1.0,2.0,3.0,2.0,3.0,44.0,1.0,2014
94.0,94.0,9.0,4.0,20.0,4.0,1.0,17.0,1705.0,99.0,2.0,1.0,999.0,12.0,1.0,1.0,15.0,2.0,2.0,19.0,1.0,2014
95.0,95.0,9.0,4.0,17.0,3.0,1.0,17.0,1703.0,99.0,2.0,1.0,30.0,5.0,1.0,9.0,2.0,9.0,99.0,44.0,3.0,2014
96.0,96.0,10.0,5.0,21.0,4.0,1.0,1.0,101.0,12.0,1.0,1.0,72.0,11.0,1.0,1.0,11.0,2.0,4.0,44.0,1.0,2014
97.0,97.0,10.0,5.0,21.0,4.0,1.0,1.0,101.0,12.0,1.0,1.0,36.0,6.0,1.0,9.0,4.0,5.0,1.0,2.0,1.0,2014
98.0,98.0,10.0,5.0,10.0,2.0,1.0,20.0,2011.0,99.0,2.0,1.0,29.0,4.0,1.0,9.0,4.0,4.0,99.0,99.0,1.0,2014
99.0,99.0,10.0,5.0,10.0,2.0,1.0,20.0,2011.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,5.0,9.0,99.0,99.0,1.0,2014
100.0,100.0,10.0,5.0,14.0,3.0,1.0,5.0,506.0,99.0,2.0,1.0,24.0,3.0,1.0,9.0,4.0,9.0,99.0,99.0,4.0,2014
101.0,101.0,10.0,5.0,21.0,4.0,1.0,5.0,511.0,99.0,2.0,1.0,55.0,10.0,1.0,9.0,7.0,9.0,11.0,99.0,1.0,2014
102.0,102.0,10.0,5.0,21.0,4.0,1.0,5.0,511.0,99.0,2.0,1.0,55.0,10.0,1.0,9.0,3.0,2.0,4.0,99.0,1.0,2014
103.0,103.0,10.0,5.0,0.0,4.0,1.0,9.0,901.0,99.0,2.0,1.0,19.0,2.0,1.0,9.0,3.0,9.0,2.0,20.0,1.0,2014
104.0,104.0,10.0,5.0,0.0,4.0,1.0,9.0,901.0,99.0,2.0,1.0,36.0,6.0,1.0,9.0,4.0,4.0,5.0,21.0,1.0,2014
105.0,105.0,10.0,5.0,19.0,4.0,1.0,9.0,920.0,3.0,1.0,2.0,22.0,3.0,1.0,9.0,1.0,9.0,9.0,34.0,1.0,2014
106.0,106.0,10.0,5.0,19.0,4.0,1.0,9.0,920.0,3.0,1.0,1.0,22.0,3.0,1.0,9.0,4.0,9.0,3.0,21.0,1.0,2014
107.0,107.0,10.0,5.0,20.0,4.0,1.0,9.0,920.0,3.0,1.0,1.0,53.0,9.0,1.0,2.0,3.0,2.0,1.0,44.0,2.0,2014
108.0,108.0,10.0,5.0,3.0,1.0,1.0,9.0,901.0,99.0,2.0,1.0,25.0,4.0,1.0,9.0,4.0,9.0,4.0,42.0,1.0,2014
109.0,109.0,10.0,5.0,3.0,1.0,1.0,9.0,901.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,1.0,9.0,6.0,44.0,1.0,2014
110.0,110.0,10.0,5.0,11.0,2.0,1.0,9.0,901.0,99.0,2.0,1.0,26.0,4.0,1.0,9.0,1.0,9.0,3.0,99.0,1.0,2014
111.0,111.0,10.0,5.0,11.0,2.0,1.0,9.0,901.0,99.0,2.0,1.0,26.0,4.0,1.0,9.0,3.0,9.0,3.0,99.0,1.0,2014
112.0,112.0,10.0,5.0,11.0,2.0,1.0,9.0,901.0,99.0,2.0,1.0,30.0,5.0,1.0,9.0,4.0,9.0,3.0,99.0,1.0,2014
113.0,113.0,10.0,5.0,18.0,4.0,1.0,13.0,1306.0,99.0,1.0,9.0,999.0,12.0,9.0,9.0,7.0,9.0,99.0,99.0,1.0,2014
114.0,114.0,10.0,5.0,18.0,4.0,1.0,13.0,1306.0,99.0,1.0,1.0,57.0,10.0,1.0,9.0,1.0,9.0,8.0,37.0,1.0,2014
115.0,115.0,10.0,5.0,17.0,3.0,1.0,4.0,407.0,99.0,2.0,1.0,25.0,4.0,1.0,9.0,4.0,9.0,99.0,99.0,1.0,2014
116.0,116.0,10.0,5.0,17.0,3.0,1.0,4.0,407.0,99.0,2.0,9.0,999.0,12.0,9.0,9.0,5.0,9.0,99.0,99.0,1.0,2014
117.0,117.0,10.0,5.0,18.0,4.0,1.0,4.0,403.0,99.0,2.0,1.0,23.0,3.0,1.0,9.0,4.0,9.0,99.0,99.0,2.0,2014
118.0,118.0,11.0,6.0,4.0,1.0,1.0,1.0,101.0,9.0,1.0,1.0,24.0,3.0,1.0,9.0,1.0,5.0,6.0,5.0,2.0,2014
119.0,119.0,11.0,6.0,20.0,4.0,1.0,1.0,101.0,1.0,1.0,1.0,28.0,4.0,1.0,1.0,1.0,9.0,2.0,99.0,1.0,2014
120.0,120.0,11.0,6.0,20.0,4.0,1.0,1.0,101.0,1.0,1.0,1.0,39.0,6.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,2014
121.0,121.0,11.0,6.0,22.0,4.0,1.0,1.0,101.0,17.0,1.0,1.0,24.0,3.0,1.0,1.0,1.0,9.0,7.0,99.0,2.0,2014
122.0,122.0,11.0,6.0,13.0,3.0,1.0,1.0,101.0,6.0,1.0,1.0,38.0,6.0,1.0,1.0,5.0,9.0,3.0,15.0,1.0,2014
123.0,123.0,11.0,6.0,13.0,3.0,1.0,1.0,101.0,6.0,1.0,1.0,32.0,5.0,1.0,1.0,12.0,9.0,1.0,3.0,1.0,2014
124.0,124.0,11.0,6.0,13.0,3.0,1.0,1.0,101.0,6.0,1.0,1.0,26.0,4.0,1.0,1.0,4.0,9.0,4.0,21.0,1.0,2014
125.0,125.0,11.0,6.0,5.0,1.0,1.0,1.0,101.0,15.0,1.0,1.0,26.0,4.0,1.0,2.0,3.0,4.0,5.0,44.0,1.0,2014
126.0,126.0,11.0,6.0,5.0,1.0,1.0,1.0,101.0,15.0,1.0,2.0,27.0,4.0,1.0,2.0,1.0,4.0,5.0,6.0,1.0,2014
127.0,127.0,11.0,6.0,13.0,3.0,1.0,1.0,101.0,10.0,1.0,2.0,32.0,5.0,1.0,1.0,2.0,9.0,4.0,20.0,1.0,2014
128.0,128.0,11.0,6.0,13.0,3.0,1.0,1.0,101.0,10.0,1.0,1.0,21.0,3.0,1.0,1.0,4.0,9.0,14.0,2.0,1.0,2014
129.0,129.0,11.0,6.0,0.0,4.0,1.0,1.0,101.0,11.0,1.0,1.0,999.0,12.0,1.0,1.0,4.0,9.0,5.0,99.0,1.0,2014
130.0,130.0,11.0,6.0,3.0,1.0,1.0,1.0,115.0,6.0,1.0,1.0,24.0,3.0,1.0,2.0,1.0,3.0,4.0,21.0,1.0,2014
131.0,131.0,11.0,6.0,3.0,1.0,1.0,1.0,115.0,6.0,1.0,1.0,30.0,5.0,1.0,1.0,4.0,9.0,3.0,99.0,1.0,2014
132.0,132.0,11.0,6.0,0.0,4.0,1.0,1.0,108.0,3.0,1.0,1.0,29.0,4.0,1.0,2.0,6.0,9.0,2.0,22.0,1.0,2014
133.0,133.0,11.0,6.0,0.0,4.0,1.0,1.0,108.0,3.0,1.0,1.0,29.0,4.0,1.0,1.0,11.0,9.0,2.0,99.0,1.0,2014
134.0,134.0,11.0,6.0,0.0,4.0,1.0,1.0,108.0,3.0,1.0,2.0,35.0,6.0,1.0,1.0,2.0,9.0,99.0,30.0,1.0,2014
135.0,135.0,11.0,6.0,0.0,4.0,1.0,1.0,108.0,3.0,1.0,1.0,999.0,12.0,1.0,1.0,99.0,9.0,99.0,99.0,1.0,2014
136.0,136.0,11.0,6.0,0.0,4.0,1.0,1.0,108.0,3.0,1.0,1.0,40.0,7.0,1.0,1.0,1.0,9.0,99.0,99.0,1.0,2014
137.0,137.0,11.0,6.0,13.0,3.0,1.0,19.0,1901.0,99.0,2.0,1.0,25.0,4.0,1.0,1.0,1.0,4.0,3.0,44.0,1.0,2014
138.0,138.0,11.0,6.0,13.0,3.0,1.0,19.0,1901.0,99.0,2.0,1.0,999.0,12.0,1.0,1.0,5.0,3.0,2.0,19.0,1.0,2014
139.0,139.0,11.0,6.0,13.0,3.0,1.0,5.0,509.0,99.0,2.0,1.0,35.0,6.0,1.0,1.0,6.0,3.0,2.0,99.0,1.0,2014
140.0,140.0,11.0,6.0,13.0,3.0,1.0,5.0,509.0,99.0,2.0,1.0,36.0,6.0,1.0,1.0,4.0,5.0,5.0,36.0,1.0,2014
141.0,141.0,11.0,6.0,21.0,4.0,1.0,6.0,608.0,99.0,2.0,1.0,22.0,3.0,1.0,1.0,3.0,3.0,3.0,44.0,1.0,2014
142.0,142.0,11.0,6.0,21.0,4.0,1.0,6.0,608.0,99.0,2.0,1.0,27.0,4.0,1.0,1.0,3.0,2.0,2.0,44.0,1.0,2014
143.0,143.0,11.0,6.0,3.0,1.0,1.0,10.0,1010.0,99.0,2.0,1.0,32.0,5.0,1.0,1.0,3.0,3.0,3.0,44.0,1.0,2014
144.0,144.0,11.0,6.0,3.0,1.0,1.0,10.0,1010.0,99.0,2.0,1.0,999.0,12.0,1.0,1.0,6.0,3.0,3.0,15.0,1.0,2014
145.0,145.0,11.0,6.0,18.0,4.0,1.0,9.0,923.0,99.0,2.0,1.0,31.0,5.0,1.0,2.0,3.0,9.0,2.0,44.0,1.0,2014
146.0,146.0,11.0,6.0,18.0,4.0,1.0,9.0,923.0,99.0,2.0,1.0,24.0,3.0,1.0,1.0,2.0,3.0,2.0,34.0,1.0,2014
147.0,147.0,11.0,6.0,1.0,1.0,1.0,2.0,201.0,99.0,2.0,1.0,42.0,7.0,1.0,1.0,12.0,9.0,2.0,99.0,1.0,2014
148.0,148.0,11.0,6.0,1.0,1.0,1.0,2.0,201.0,99.0,2.0,1.0,33.0,5.0,1.0,1.0,3.0,9.0,99.0,44.0,1.0,2014
149.0,149.0,12.0,7.0,2.0,1.0,1.0,1.0,101.0,12.0,1.0,1.0,22.0,3.0,1.0,1.0,5.0,9.0,99.0,99.0,1.0,2014
150.0,150.0,12.0,7.0,2.0,1.0,1.0,1.0,101.0,12.0,1.0,1.0,27.0,4.0,1.0,1.0,2.0,9.0,99.0,99.0,1.0,2014
151.0,151.0,12.0,7.0,19.0,4.0,1.0,1.0,101.0,12.0,1.0,1.0,18.0,2.0,1.0,1.0,1.0,4.0,9.0,34.0,1.0,2014
152.0,152.0,12.0,7.0,19.0,4.0,1.0,1.0,101.0,12.0,1.0,1.0,37.0,6.0,1.0,1.0,4.0,9.0,99.0,99.0,1.0,2014
153.0,153.0,12.0,7.0,9.0,2.0,1.0,1.0,115.0,1.0,1.0,2.0,29.0,4.0,1.0,1.0,1.0,4.0,2.0,20.0,1.0,2014
154.0,154.0,12.0,7.0,9.0,2.0,1.0,1.0,115.0,1.0,1.0,1.0,20.0,3.0,1.0,1.0,4.0,1.0,14.0,42.0,1.0,2014
155.0,155.0,12.0,7.0,19.0,4.0,1.0,1.0,115.0,6.0,1.0,1.0,999.0,12.0,1.0,1.0,4.0,9.0,1.0,42.0,1.0,2014
156.0,156.0,12.0,7.0,19.0,4.0,1.0,1.0,115.0,6.0,1.0,1.0,55.0,10.0,1.0,1.0,4.0,9.0,4.0,5.0,1.0,2014
157.0,157.0,12.0,7.0,2.0,1.0,1.0,6.0,602.0,99.0,2.0,1.0,33.0,5.0,1.0,1.0,6.0,3.0,2.0,15.0,1.0,2014
158.0,158.0,12.0,7.0,2.0,1.0,1.0,6.0,602.0,99.0,2.0,1.0,22.0,3.0,1.0,2.0,6.0,9.0,5.0,20.0,1.0,2014
